date,NDVI
2019-01-31,0.44792732409628344
2019-02-28,0.5135909965005131
2019-03-31,0.4255518138743301
2019-04-30,0.5690754519591166
2019-05-31,0.5154794827685634
2019-06-30,0.4766224395690159
2019-07-31,0.4925663896955345
2019-08-31,0.513824989864226
2019-09-30,
2019-10-31,0.6033328612589751
2019-11-30,0.3524450871374154
2019-12-31,0.411990648062624
2020-01-31,0.40158416860040513
2020-02-29,0.28732645009412655
2020-03-31,0.39734000870317543
2020-04-30,0.5014103063449447
2020-05-31,0.4378085915319405
2020-06-30,0.3292237088480996
2020-07-31,0.42059662701531353
2020-08-31,0.3839049298948103
2020-09-30,0.6652526721416283
2020-10-31,0.44951920462157
2020-11-30,0.5951731251460081
2020-12-31,0.4289371369602065
2021-01-31,0.346211150621605
2021-02-28,0.5520044696094826
2021-03-31,0.3704042561680913
2021-04-30,0.4337388187700756
2021-05-31,0.3960741355781524
2021-06-30,0.5024851434178393
2021-07-31,0.706413885809166
2021-08-31,0.7152423218192014
2021-09-30,0.4694125103812326
2021-10-31,0.242337560428911
2021-11-30,0.6049583445508717
2021-12-31,0.4399181598686109
