system:time_start,mm,Median
31-01-2019,4.015,46.349
28-02-2019,33.875,40.444
31-03-2019,17.788,27.18075
30-04-2019,41.486,23.98733333
31-05-2019,51.208,19.29275
30-06-2019,95.921,23.50766667
31-07-2019,165.721,18.34
31-08-2019,243.771,19.31133333
30-09-2019,270.657,20.63033333
31-10-2019,122.254,25.6665
30-11-2019,35.694,26.47566667
31-12-2019,3.866,33.16933333
31-01-2020,10.591,35.39075
29-02-2020,8.288,33.16133333
31-03-2020,26.88,27.94566667
30-04-2020,48.054,23.655
31-05-2020,125.654,18.003
30-06-2020,141.977,18.34075
31-07-2020,174.169,26.067
31-08-2020,315.79,14.9635
30-09-2020,95.322,16.093
31-10-2020,114.43,13.516
30-11-2020,12.02,31.81675
31-12-2020,2.545,42.335
