system:time_start,p25,Median,IQR
2019-01-31,31.771,46.349,69.86566666666667
2019-02-28,29.83966666666667,40.443999999999996,50.62766666666667
2019-03-31,23.87525,27.18075,31.65025
2019-04-30,16.849,23.987333333333336,28.189333333333334
2019-05-31,15.682500000000001,19.292749999999998,22.66475
2019-06-30,17.929333333333336,23.507666666666665,28.420333333333332
2019-07-31,14.9395,18.34,21.204500000000003
2019-08-31,18.639333333333333,19.311333333333334,20.093666666666667
2019-09-30,19.473333333333333,20.630333333333333,21.389666666666667
2019-10-31,23.81625,25.6665,29.67725
2019-11-30,20.915333333333333,26.475666666666665,34.888
2019-12-31,20.168666666666667,33.169333333333334,57.94833333333333
2020-01-31,28.841250000000002,35.39075,42.2315
2020-02-29,21.116666666666664,33.16133333333333,48.101
2020-03-31,24.264333333333337,27.945666666666668,31.52933333333333
2020-04-30,17.571,23.655,30.24625
2020-05-31,13.282333333333334,18.003,21.301999999999996
2020-06-30,17.21275,18.34075,19.429499999999997
2020-07-31,26.067,26.067,26.067
2020-08-31,13.693,14.9635,16.234
2020-09-30,13.59325,16.093,19.92975
2020-10-31,7.2515,13.516,19.1575
2020-11-30,24.9815,31.81675,41.6635
2020-12-31,32.53333333333333,42.335,52.24033333333333
